Timestamp,MAE,MSE,R2,Units,Dropout,Batch Size
2025-07-06_12-43-16,1.8058823347091677,9.33823585510254,0.7305766344070435,,,
2025-07-06_12-44-22,1.754707932472229,9.357481956481934,0.7300213575363159,,,
2025-07-06_13-05-00,1.814615488052368,9.37039566040039,0.7296488285064697,84.0,0.1,47.0
2025-07-09_16-47-10,1.7703925371170044,9.103928565979004,0.7373368144035339,32.0,0.1,37.0
2025-07-09_17-15-43,1.7616852521896362,9.12013053894043,0.7368693351745605,77.0,0.1,30.0
2025-07-09_17-39-55,2.051499843597412,9.48709201812744,0.7262818813323975,42.0,0.1,48.0
2025-07-11_07-40-10,1.846607446670532,7.086668014526367,0.7810611724853516,109.0,0.1231386025435559,58.0  After Outlier removal
2025-07-11_11-45-21,1.6015924215316772,6.848353385925293,0.7884238362312317,110.0,0.1,64
2025-07-11_12-02-45,1.5756454467773438,6.582937717437744,0.796623706817627,74.0,0.1004984701617184,55
2025-07-11_12-29-09,1.596277952194214,6.727932929992676,0.7921441197395325,49.0,0.1,57
2025-07-24_10-10-03,1.660771131515503,7.1465864181518555,0.779210090637207,57.0,0.1,55
2025-07-24_10-30-16,37.71595840454101,3860.557470703125,0.7967451810836792,76.0,0.172141592638871,58
2025-07-24_12-16-14,37.57142715454101,3854.9580078125,0.7970233201980591,64.0,0.1,60
2025-07-24_17-03-09,37.30589294433594,3813.73056640625,0.7992029070854187,128.0,0.1,57
